date,state,fips,fraction_of_cases,fraction_of_deaths
2020/4/1,Georgia,13,0.015823333,0.000513333
2020/4/2,Georgia,13,0.018146667,0.000586667
2020/4/3,Georgia,13,0.01989,0.00066
2020/4/4,Georgia,13,0.021276667,0.000693333
2020/4/5,Georgia,13,0.022473333,0.00073
2020/4/6,Georgia,13,0.025193333,0.00098
2020/4/7,Georgia,13,0.03052,0.00116
2020/4/8,Georgia,13,0.034013333,0.001233333
2020/4/9,Georgia,13,0.036283333,0.001373333
2020/4/10,Georgia,13,0.03953,0.001416667
2020/4/11,Georgia,13,0.04087,0.00144
2020/4/12,Georgia,13,0.040343333,0.00146
2020/4/13,Georgia,13,0.04375,0.001596667
2020/4/14,Georgia,13,0.046376667,0.001723333
2020/4/15,Georgia,13,0.04861,0.001896667
2020/4/16,Georgia,13,0.052146667,0.002036667
2020/4/17,Georgia,13,0.055526667,0.002203333
2020/4/18,Georgia,13,0.056713333,0.002233333
2020/4/19,Georgia,13,0.05873,0.002273333
2020/4/20,Georgia,13,0.06149,0.002556667
2020/4/21,Georgia,13,0.063963333,0.0027
2020/4/22,Georgia,13,0.066996667,0.00279
2020/4/23,Georgia,13,0.069683333,0.002903333
2020/4/24,Georgia,13,0.071916667,0.002963333
2020/4/25,Georgia,13,0.074083333,0.00299
2020/4/26,Georgia,13,0.074863333,0.003023333
2020/4/27,Georgia,13,0.07743,0.00327
2020/4/28,Georgia,13,0.07869,0.003406667
2020/4/29,Georgia,13,0.081,0.00362
2020/4/30,Georgia,13,0.08477,0.003736667
